197,gondola,43
634,cereale,53
593,gondola,57
599,frigorific,55
560,cisterna,41
753,cereale,57
808,cereale,51
855,cisterna,52
538,cisterna,59
655,cereale,51
757,frigorific,49
803,cisterna,53
167,frigorific,50
609,frigorific,59
632,frigorific,58
755,cisterna,41
831,cisterna,46
601,frigorific,55
832,frigorific,54
307,cereale,51
187,cereale,60
292,frigorific,55
852,cereale,43
775,frigorific,46
448,cisterna,45
289,cereale,54
514,gondola,43
737,cisterna,47
483,cereale,44
671,cereale,45
575,cereale,52
422,frigorific,53
722,cereale,45
360,cisterna,44
668,cereale,54
496,gondola,54
669,frigorific,41
666,gondola,60
898,cisterna,48
339,cereale,44
817,frigorific,49
814,cisterna,47
142,cisterna,49
697,frigorific,44
297,cereale,59
701,cisterna,50
134,cisterna,49
747,cisterna,47
631,gondola,44
764,gondola,52
